Invoice/Item Number;Date;Store Number;Store Name;Address;City;Zip Code;Store Location;County Number;County;Category;Category Name;Vendor Number;Vendor Name;Item Number;Item Description;Pack;Bottle Volume (ml);State Bottle Cost;State Bottle Retail;Bottles Sold;Sale (Dollars);Volume Sold (Liters);Volume Sold (Gallons);Long;Lat
INV-16517600005;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;65;Jim Beam Brands;15248;Windsor Canadian PET;6;1750;;;6;85,5;10,5;2,77;-93.801917;43.098696
INV-16512000008;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;85;Brown Forman Corp.;12476;Canadian Mist Whiskey Pet;12;750;;;12;97,92;9;2,37;-95.027238;40.739231
INV-16508700005;2018-12-21 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1062200;White Rum;35;BACARDI USA INC;43120;Bacardi Superior PET;6;1750;;;6;135;10,5;2,77;-93.957384;42.99274
INV-16517600020;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1011400;Tennessee Whiskies;85;Brown Forman Corp.;86692;Jack Daniels Tennessee Fire;12;750;;;3;70,08;2,25;0,59;-93.801917;43.098696
INV-16517600016;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1082200;Imported Schnapps;421;SAZERAC COMPANY  INC;69656;Dr McGillicuddys Mentholmint;12;750;;;3;38,97;2,25;0,59;-93.801917;43.098696
INV-16512000044;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;65;Jim Beam Brands;15248;Windsor Canadian PET;6;1750;;;2;28,5;3,5;0,92;-95.027238;40.739231
INV-16517600002;2018-12-21 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10791;Crown Royal Vanilla;12;750;;;12;280,68;9;2,37;-93.801917;43.098696
INV-16508700004;2018-12-21 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1011100;Blended Whiskies;434;LUXCO INC;23278;Calvert Extra Bl Whiskey;6;1750;;;6;99,18;10,5;2,77;-93.957384;42.99274
INV-16512500028;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1031100;American Vodkas;380;Phillips Beverage;37336;UV Vodka;12;750;;;12;117;9;2,37;-95.385111;40.761736
INV-16512000024;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43337;Captain Morgan Spiced Rum;12;1000;;;24;423,12;24;6,34;-95.027238;40.739231
INV-16512200002;2018-12-21 00:00:00;4246;Fareway Stores #938 / Shenandoah;1007 S Fremont St;Shenandoah;51601;;73;PAGE;1011100;Blended Whiskies;297;Laird & Company;23828;Five Star;6;1750;;;6;68,58;10,5;2,77;;
INV-16512300006;2018-12-21 00:00:00;4266;Wal-Mart 1683 / Shenandoah;705 S Fremont;Shenandoah;51601;POINT (-95.385114 40.760282);73;PAGE;1031100;American Vodkas;297;Laird & Company;35916;Five O'Clock Vodka;12;750;;;12;60,72;9;2,37;-95.385114;40.760282
INV-16512500033;2018-12-21 00:00:00;2607;Hy-Vee Wine and Spirits / Shenandoah;520 So Fremont;Shenandoah;51601;POINT (-95.385111 40.761736);73;PAGE;1022100;Mixto Tequila;55;SAZERAC NORTH AMERICA;89577;Montezuma Gold Tequila;12;1000;;;48;505,44;48;12,68;-95.385111;40.761736
INV-16508700009;2018-12-21 00:00:00;5626;Corwith Farm Service;205 NW Elm St;Corwith;50430;POINT (-93.957384 42.99274);41;HANCOCK;1032100;Imported Vodkas;35;BACARDI USA INC;34433;Grey Goose;12;750;;;12;332,88;9;2,37;-93.957384;42.99274
INV-16512000002;2018-12-21 00:00:00;5210;Ding's Honk'n Holler;900, E  Washington  St;Clarinda;51632;POINT (-95.027238 40.739231);73;PAGE;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;10808;Crown Royal Regal Apple;12;1000;;;12;340,08;12;3,17;-95.027238;40.739231
INV-16511700001;2018-12-21 00:00:00;2655;Hy-Vee Food Store / Clarinda;1200 S 16TH ST;Clarinda;51632;POINT (-95.037849 40.726808);73;PAGE;1062400;Spiced Rum;260;DIAGEO AMERICAS;43336;Captain Morgan Original Spiced;12;750;;;24;326,16;18;4,75;-95.037849;40.726808
INV-16647600003;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1012100;Canadian Whiskies;260;DIAGEO AMERICAS;11297;Crown Royal;12;1000;;;12;340,08;12;3,17;-93.801917;43.098696
INV-16511800002;2018-12-21 00:00:00;4249;Fareway Stores #048 / Clarinda;115 Essie Davison Dr;Clarinda;51632;POINT (-95.040293 40.724008);73;PAGE;1901200;Special Order Items;421;SAZERAC COMPANY  INC;903490;HA Old Rip Van Winkle 15YR (Pappy);3;750;;;1;75;0,75;0,19;-95.040293;40.724008
INV-16647600020;2018-12-31 00:00:00;3045;Britt Food Center;8 2nd St NW;Britt;50423;POINT (-93.801917 43.098696);41;HANCOCK;1031100;American Vodkas;297;Laird & Company;35917;Five O'Clock Vodka;12;1000;;;12;75,12;12;3,17;-93.801917;43.098696
